,popularity_index,album_release_date,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
23,87,2021-12-10,Rauw Alejandro,VICE VERSA,Desesperados,6mmPpaltUZK7xjNlBPQQ0p,0.869,0.694,1,-3.35,0,0.0783,0.00125,0.0878,0.511,90.02,224997,4
24,93,2022-01-06,The Weeknd,Dawn FM,Sacrifice,1nH2PkJL1XoUq8oE6tBZoU,0.735,0.795,11,-6.523,0,0.113,3.18e-05,0.0678,0.905,122.0,188918,4
25,93,2021-06-25,Doja Cat,Planet Her,Need to Know,3Vi5XqYrmQgOYBajMWSvCi,0.664,0.609,1,-6.509,1,0.0707,0.0,0.0926,0.194,130.041,210560,4
26,94,2021-06-24,Farruko,Pepas,Pepas,5fwSHlTEWpluwOM0Sxnh5k,0.762,0.766,7,-3.955,1,0.0343,6.98e-05,0.128,0.442,130.001,287120,4
27,93,2021-11-04,Tiësto,The Motto,The Motto,18asYwWugKjjsihZ0YvRxO,0.754,0.763,7,-4.627,0,0.0435,2.23e-05,0.0901,0.464,117.953,164819,4
28,92,2021-11-05,Post Malone,One Right Now,One Right Now (with The Weeknd),00Blm7zeNqgYLPtW6zg8cj,0.687,0.781,1,-4.806,1,0.053,0.0,0.0755,0.688,97.014,193507,4
29,83,2022-02-04,Nicki Minaj,Do We Have A Problem?,Do We Have A Problem?,1PNs0uGru3TcrA94kpyGnc,0.842,0.505,1,-8.627,0,0.402,0.000322,0.117,0.538,119.993,207065,4
30,91,2021-10-30,Kodak Black,Sniper Gang Presents Syko Bob & Snapkatt: Nightmare Babies,Super Gremlin,4A8cWXxKfIL3lAyUDzXbCF,0.825,0.414,2,-6.634,1,0.144,0.0,0.357,0.106,72.993,200548,4
31,96,2021-08-20,ACRAZE,Do It To It,Do It To It,20on25jryn53hWghthWWW3,0.854,0.806,11,-8.262,0,0.0886,0.0542,0.0703,0.637,124.927,157890,4
32,84,2022-01-28,The Chainsmokers,High,High,3t4KHjd8uQpJJ2fa0fRIpR,0.601,0.787,0,-6.178,1,0.031,0.0,0.142,0.525,134.981,175163,4
33,53,2014-11-28,The Walters,Songs for Dads,I Love You So,1175r6ZmkUjX8dRJLz9Ohk,0.578,0.669,10,-4.898,1,0.0377,0.0,0.13,0.503,75.995,160254,4
34,86,2021-11-19,Muni Long,Public Displays Of Affection,Hrs and Hrs,3xRH6FPVtheDyNla3T1FE7,0.511,0.525,8,-4.595,0,0.183,0.0,0.111,0.661,139.885,204317,3
35,85,2022-02-02,Juice WRLD,Cigarettes,Cigarettes,42Xba467wgGvYrR2EE6s0i,0.597,0.615,2,-6.346,1,0.0421,0.0,0.378,0.467,160.014,227527,4
36,86,2021-11-19,Luude,Down Under (feat. Colin Hay),Down Under (feat. Colin Hay),7AVyve7cFYTd51ha5i9kE2,0.308,0.861,11,-4.112,0,0.172,0.00103,0.277,0.0386,171.966,158774,4
37,90,2021-09-24,NEIKED,Better Days (NEIKED x Mae Muller x Polo G),Better Days (NEIKED x Mae Muller x Polo G),6f5ExP43esnvdKPddwKXJH,0.717,0.671,0,-5.077,0,0.0337,2.54e-06,0.0921,0.699,110.054,160657,4
38,90,2021-11-19,Emmy Meli,I AM WOMAN,I AM WOMAN,3nOz1U41SZZ0N3fuUWr9nb,0.646,0.471,10,-9.247,1,0.157,0.0,0.125,0.455,170.084,232813,4
39,87,2021-07-28,Billie Eilish,Happier Than Ever (Edit),Happier Than Ever - Edit,32BeYxKPrig1LefHsC0Xuo,0.334,0.599,0,-5.742,1,0.0365,0.000392,0.205,0.127,161.74,151444,3
40,87,2021-11-05,Bruno Mars,Smokin Out The Window,Smokin Out The Window,4iN16F8JtVxG2UTzp3avGl,0.627,0.618,2,-8.529,1,0.0437,0.0,0.351,0.848,82.03,197443,4
41,91,2021-12-03,SZA,I Hate U,I Hate U,5dXWFMwD7I7zXsInONVl0H,0.535,0.388,7,-9.805,0,0.155,0.0,0.11,0.412,106.703,174000,5
42,89,2021-09-10,LISA,LALISA,MONEY,7hU3IHwjX150XLoTVmjD0q,0.831,0.554,1,-9.998,0,0.218,6.12e-05,0.152,0.396,140.026,168228,4
43,33,2021-05-14,Olivia Rodrigo,good 4 u,good 4 u,6PERP62TejQjgHu81OHxgM,0.556,0.661,6,-5.052,0,0.204,0.0,0.101,0.668,168.56,178148,4
44,93,2021-10-29,BoyWithUke,Toxic,Toxic,2gQPv5jvVPqU2a9HhMNO1v,0.594,0.612,8,-6.627,0,0.363,0.0,0.461,0.687,179.629,168020,4
45,90,2020-03-13,THE ANXIETY,THE ANXIETY,Meet Me At Our Spot,07MDkzWARZaLEdKxo6yArG,0.773,0.47,2,-7.93,1,0.0299,0.000193,0.0851,0.399,94.995,162680,4
46,69,2021-09-16,Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),15HMh4yxdf4wyxSZSlOgGZ,0.859,0.525,1,-8.051,0,0.0592,2.34e-05,0.108,0.312,110.066,204764,4
47,92,2021-08-18,zzoilo,Mon Amour (Remix),Mon Amour - Remix,5TMLavqGRKNxgzMBrVpC9R,0.748,0.761,2,-6.621,1,0.102,6.56e-06,0.0984,0.362,116.041,179940,4
48,90,2021-12-01,Shawn Mendes,It'll Be Okay,It'll Be Okay,2KnLkZ3z7PO3kgVGHGqDpD,0.398,0.286,7,-11.881,1,0.033,0.000146,0.0912,0.0666,78.262,222800,4
49,88,2021-08-10,NIKI,Every Summertime,Every Summertime,68HocO7fx9z0MgDU0ZPHro,0.628,0.676,6,-4.227,1,0.0424,6.94e-05,0.0978,0.723,78.996,215687,4
